[5268 | __mp_main__ | INFO] Rating @ n_cmp = 2100 1/min
[1768 | __mp_main__ | INFO] Iteration 2 @ 4800 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[6464 | __mp_main__ | INFO] Iteration 1 @ 3900 1/min: error with (3900 1/min, 5.000 °C, 50.000 °C): for T_evp = -0.333 K, for T_cnd = -0.235 K
[6464 | __mp_main__ | INFO] Iteration 2 @ 3900 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[16232 | __mp_main__ | INFO] Iteration 1 @ 5100 1/min: error with (5100 1/min, 5.000 °C, 50.000 °C): for T_evp = -4.245 K, for T_cnd = -2.247 K
[16232 | __mp_main__ | INFO] Iteration 2 @ 5100 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[2952 | __mp_main__ | INFO] Iteration 1 @ 5400 1/min: error with (5400 1/min, 5.000 °C, 50.000 °C): for T_evp = -5.478 K, for T_cnd = -2.709 K
[2952 | __mp_main__ | INFO] Iteration 2 @ 5400 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[4164 | __mp_main__ | INFO] Iteration 1 @ 4500 1/min: error with (4500 1/min, 5.000 °C, 50.000 °C): for T_evp = -1.808 K, for T_cnd = -1.122 K
[4164 | __mp_main__ | INFO] Iteration 2 @ 4500 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[12576 | __mp_main__ | INFO] Iteration 1 @ 4200 1/min: error with (4200 1/min, 5.000 °C, 50.000 °C): for T_evp = -0.630 K, for T_cnd = -0.426 K
[12576 | __mp_main__ | INFO] Iteration 2 @ 4200 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[8968 | __mp_main__ | INFO] Iteration 1 @ 3300 1/min: error with (3300 1/min, 5.000 °C, 50.000 °C): for T_evp = 1.498 K, for T_cnd = 1.257 K
[8968 | __mp_main__ | INFO] Iteration 2 @ 3300 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[5268 | __mp_main__ | INFO] Iteration 1 @ 2100 1/min: error with (2100 1/min, 5.000 °C, 50.000 °C): for T_evp = 6.066 K, for T_cnd = 9.035 K
[5268 | __mp_main__ | INFO] Iteration 2 @ 2100 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[13656 | __mp_main__ | INFO] Iteration 1 @ 2400 1/min: error with (2400 1/min, 5.000 °C, 50.000 °C): for T_evp = 4.912 K, for T_cnd = 6.128 K
[13656 | __mp_main__ | INFO] Iteration 2 @ 2400 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[2036 | __mp_main__ | INFO] Iteration 1 @ 3000 1/min: error with (3000 1/min, 5.000 °C, 50.000 °C): for T_evp = 2.599 K, for T_cnd = 2.442 K
[2036 | __mp_main__ | INFO] Iteration 2 @ 3000 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[12604 | __mp_main__ | INFO] Iteration 1 @ 2700 1/min: error with (2700 1/min, 5.000 °C, 50.000 °C): for T_evp = 3.749 K, for T_cnd = 4.017 K
[12604 | __mp_main__ | INFO] Iteration 2 @ 2700 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[1768 | __mp_main__ | WARNING] No subcooling of refrigerant in condenser.
[16232 | __mp_main__ | WARNING] No subcooling of refrigerant in condenser.
[2952 | __mp_main__ | WARNING] No subcooling of refrigerant in condenser.
[4164 | __mp_main__ | WARNING] No subcooling of refrigerant in condenser.
[12576 | __mp_main__ | WARNING] No subcooling of refrigerant in condenser.
[5816 | __mp_main__ | INFO] Iteration 2 @ 3600 1/min: error with (3600 1/min, 5.000 °C, 50.000 °C): for T_evp = 0.577 K, for T_cnd = 0.443 K
[5816 | __mp_main__ | INFO] Iteration 3 @ 3600 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[16232 | __mp_main__ | INFO] Iteration 2 @ 5100 1/min: error with (5100 1/min, 5.000 °C, 50.000 °C): for T_evp = -4.245 K, for T_cnd = -2.247 K
[16232 | __mp_main__ | INFO] Iteration 3 @ 5100 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[6464 | __mp_main__ | INFO] Iteration 2 @ 3900 1/min: error with (3900 1/min, 5.000 °C, 50.000 °C): for T_evp = -0.333 K, for T_cnd = -0.235 K
[6464 | __mp_main__ | INFO] Iteration 3 @ 3900 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[1768 | __mp_main__ | INFO] Iteration 2 @ 4800 1/min: error with (4800 1/min, 5.000 °C, 50.000 °C): for T_evp = -3.014 K, for T_cnd = -1.722 K
[1768 | __mp_main__ | INFO] Iteration 3 @ 4800 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[2952 | __mp_main__ | INFO] Iteration 2 @ 5400 1/min: error with (5400 1/min, 5.000 °C, 50.000 °C): for T_evp = -5.478 K, for T_cnd = -2.709 K
[2952 | __mp_main__ | INFO] Iteration 3 @ 5400 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[4164 | __mp_main__ | INFO] Iteration 2 @ 4500 1/min: error with (4500 1/min, 5.000 °C, 50.000 °C): for T_evp = -1.808 K, for T_cnd = -1.122 K
[4164 | __mp_main__ | INFO] Iteration 3 @ 4500 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[12576 | __mp_main__ | INFO] Iteration 2 @ 4200 1/min: error with (4200 1/min, 5.000 °C, 50.000 °C): for T_evp = -0.630 K, for T_cnd = -0.426 K
[12576 | __mp_main__ | INFO] Iteration 3 @ 4200 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[1768 | __mp_main__ | WARNING] No subcooling of refrigerant in condenser.
[16232 | __mp_main__ | WARNING] No subcooling of refrigerant in condenser.
[2952 | __mp_main__ | WARNING] No subcooling of refrigerant in condenser.
[8968 | __mp_main__ | INFO] Iteration 2 @ 3300 1/min: error with (3300 1/min, 5.000 °C, 50.000 °C): for T_evp = 1.498 K, for T_cnd = 1.257 K
[8968 | __mp_main__ | INFO] Iteration 3 @ 3300 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[2036 | __mp_main__ | INFO] Iteration 2 @ 3000 1/min: error with (3000 1/min, 5.000 °C, 50.000 °C): for T_evp = 2.599 K, for T_cnd = 2.442 K
[2036 | __mp_main__ | INFO] Iteration 3 @ 3000 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[13656 | __mp_main__ | INFO] Iteration 2 @ 2400 1/min: error with (2400 1/min, 5.000 °C, 50.000 °C): for T_evp = 4.912 K, for T_cnd = 6.128 K
[13656 | __mp_main__ | INFO] Iteration 3 @ 2400 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[4164 | __mp_main__ | WARNING] No subcooling of refrigerant in condenser.
[5268 | __mp_main__ | INFO] Iteration 2 @ 2100 1/min: error with (2100 1/min, 5.000 °C, 50.000 °C): for T_evp = 6.066 K, for T_cnd = 9.035 K
[5268 | __mp_main__ | INFO] Iteration 3 @ 2100 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[12604 | __mp_main__ | INFO] Iteration 2 @ 2700 1/min: error with (2700 1/min, 5.000 °C, 50.000 °C): for T_evp = 3.749 K, for T_cnd = 4.017 K
[12604 | __mp_main__ | INFO] Iteration 3 @ 2700 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[12576 | __mp_main__ | WARNING] No subcooling of refrigerant in condenser.
[5816 | __mp_main__ | INFO] Iteration 3 @ 3600 1/min: error with (3600 1/min, 5.000 °C, 50.000 °C): for T_evp = 0.577 K, for T_cnd = 0.443 K
[5816 | __mp_main__ | INFO] Iteration 4 @ 3600 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[16232 | __mp_main__ | INFO] Iteration 3 @ 5100 1/min: error with (5100 1/min, 5.000 °C, 50.000 °C): for T_evp = -4.245 K, for T_cnd = -2.247 K
[16232 | __mp_main__ | INFO] Iteration 4 @ 5100 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[6464 | __mp_main__ | INFO] Iteration 3 @ 3900 1/min: error with (3900 1/min, 5.000 °C, 50.000 °C): for T_evp = -0.333 K, for T_cnd = -0.235 K
[6464 | __mp_main__ | INFO] Iteration 4 @ 3900 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[1768 | __mp_main__ | INFO] Iteration 3 @ 4800 1/min: error with (4800 1/min, 5.000 °C, 50.000 °C): for T_evp = -3.014 K, for T_cnd = -1.722 K
[1768 | __mp_main__ | INFO] Iteration 4 @ 4800 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[2952 | __mp_main__ | INFO] Iteration 3 @ 5400 1/min: error with (5400 1/min, 5.000 °C, 50.000 °C): for T_evp = -5.478 K, for T_cnd = -2.709 K
[2952 | __mp_main__ | INFO] Iteration 4 @ 5400 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[4164 | __mp_main__ | INFO] Iteration 3 @ 4500 1/min: error with (4500 1/min, 5.000 °C, 50.000 °C): for T_evp = -1.808 K, for T_cnd = -1.122 K
[4164 | __mp_main__ | INFO] Iteration 4 @ 4500 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[12576 | __mp_main__ | INFO] Iteration 3 @ 4200 1/min: error with (4200 1/min, 5.000 °C, 50.000 °C): for T_evp = -0.630 K, for T_cnd = -0.426 K
[12576 | __mp_main__ | INFO] Iteration 4 @ 4200 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[16232 | __mp_main__ | WARNING] No subcooling of refrigerant in condenser.
[1768 | __mp_main__ | WARNING] No subcooling of refrigerant in condenser.
[2952 | __mp_main__ | WARNING] No subcooling of refrigerant in condenser.
[4164 | __mp_main__ | WARNING] No subcooling of refrigerant in condenser.
[5816 | __mp_main__ | INFO] Iteration 4 @ 3600 1/min: error with (3600 1/min, 5.000 °C, 50.000 °C): for T_evp = 0.577 K, for T_cnd = 0.443 K
[5816 | __mp_main__ | INFO] Iteration 5 @ 3600 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[12576 | __mp_main__ | WARNING] No subcooling of refrigerant in condenser.
[8968 | __mp_main__ | INFO] Iteration 3 @ 3300 1/min: error with (3300 1/min, 5.000 °C, 50.000 °C): for T_evp = 1.498 K, for T_cnd = 1.257 K
[8968 | __mp_main__ | INFO] Iteration 4 @ 3300 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[2036 | __mp_main__ | INFO] Iteration 3 @ 3000 1/min: error with (3000 1/min, 5.000 °C, 50.000 °C): for T_evp = 2.599 K, for T_cnd = 2.442 K
[2036 | __mp_main__ | INFO] Iteration 4 @ 3000 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[13656 | __mp_main__ | INFO] Iteration 3 @ 2400 1/min: error with (2400 1/min, 5.000 °C, 50.000 °C): for T_evp = 4.912 K, for T_cnd = 6.128 K
[13656 | __mp_main__ | INFO] Iteration 4 @ 2400 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[5268 | __mp_main__ | INFO] Iteration 3 @ 2100 1/min: error with (2100 1/min, 5.000 °C, 50.000 °C): for T_evp = 6.066 K, for T_cnd = 9.035 K
[5268 | __mp_main__ | INFO] Iteration 4 @ 2100 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[12604 | __mp_main__ | INFO] Iteration 3 @ 2700 1/min: error with (2700 1/min, 5.000 °C, 50.000 °C): for T_evp = 3.749 K, for T_cnd = 4.017 K
[12604 | __mp_main__ | INFO] Iteration 4 @ 2700 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[6464 | __mp_main__ | INFO] Iteration 4 @ 3900 1/min: error with (3900 1/min, 5.000 °C, 50.000 °C): for T_evp = -0.333 K, for T_cnd = -0.235 K
[6464 | __mp_main__ | INFO] Iteration 5 @ 3900 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[16232 | __mp_main__ | INFO] Iteration 4 @ 5100 1/min: error with (5100 1/min, 5.000 °C, 50.000 °C): for T_evp = -4.245 K, for T_cnd = -2.247 K
[16232 | __mp_main__ | INFO] Iteration 5 @ 5100 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[1768 | __mp_main__ | INFO] Iteration 4 @ 4800 1/min: error with (4800 1/min, 5.000 °C, 50.000 °C): for T_evp = -3.014 K, for T_cnd = -1.722 K
[1768 | __mp_main__ | INFO] Iteration 5 @ 4800 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[2952 | __mp_main__ | INFO] Iteration 4 @ 5400 1/min: error with (5400 1/min, 5.000 °C, 50.000 °C): for T_evp = -5.478 K, for T_cnd = -2.709 K
[2952 | __mp_main__ | INFO] Iteration 5 @ 5400 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[4164 | __mp_main__ | INFO] Iteration 4 @ 4500 1/min: error with (4500 1/min, 5.000 °C, 50.000 °C): for T_evp = -1.808 K, for T_cnd = -1.122 K
[4164 | __mp_main__ | INFO] Iteration 5 @ 4500 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[12576 | __mp_main__ | INFO] Iteration 4 @ 4200 1/min: error with (4200 1/min, 5.000 °C, 50.000 °C): for T_evp = -0.630 K, for T_cnd = -0.426 K
[12576 | __mp_main__ | INFO] Iteration 5 @ 4200 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[1768 | __mp_main__ | WARNING] No subcooling of refrigerant in condenser.
[16232 | __mp_main__ | WARNING] No subcooling of refrigerant in condenser.
[2952 | __mp_main__ | WARNING] No subcooling of refrigerant in condenser.
[5816 | __mp_main__ | INFO] Iteration 5 @ 3600 1/min: error with (3600 1/min, 5.000 °C, 50.000 °C): for T_evp = 0.577 K, for T_cnd = 0.443 K
[5816 | __mp_main__ | INFO] Iteration 6 @ 3600 1/min: try with T_evp = 5.114 °C and T_cnd = 50.497 °C
[4164 | __mp_main__ | WARNING] No subcooling of refrigerant in condenser.
[12576 | __mp_main__ | WARNING] No subcooling of refrigerant in condenser.
[8968 | __mp_main__ | INFO] Iteration 4 @ 3300 1/min: error with (3300 1/min, 5.000 °C, 50.000 °C): for T_evp = 1.498 K, for T_cnd = 1.257 K
[8968 | __mp_main__ | INFO] Iteration 5 @ 3300 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[2036 | __mp_main__ | INFO] Iteration 4 @ 3000 1/min: error with (3000 1/min, 5.000 °C, 50.000 °C): for T_evp = 2.599 K, for T_cnd = 2.442 K
[2036 | __mp_main__ | INFO] Iteration 5 @ 3000 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[6464 | __mp_main__ | INFO] Iteration 5 @ 3900 1/min: error with (3900 1/min, 5.000 °C, 50.000 °C): for T_evp = -0.333 K, for T_cnd = -0.235 K
[6464 | __mp_main__ | INFO] Iteration 6 @ 3900 1/min: try with T_evp = 4.872 °C and T_cnd = 49.835 °C
[5268 | __mp_main__ | INFO] Iteration 4 @ 2100 1/min: error with (2100 1/min, 5.000 °C, 50.000 °C): for T_evp = 6.066 K, for T_cnd = 9.035 K
[5268 | __mp_main__ | INFO] Iteration 5 @ 2100 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[13656 | __mp_main__ | INFO] Iteration 4 @ 2400 1/min: error with (2400 1/min, 5.000 °C, 50.000 °C): for T_evp = 4.912 K, for T_cnd = 6.128 K
[13656 | __mp_main__ | INFO] Iteration 5 @ 2400 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[16232 | __mp_main__ | INFO] Iteration 5 @ 5100 1/min: error with (5100 1/min, 5.000 °C, 50.000 °C): for T_evp = -4.245 K, for T_cnd = -2.247 K
[16232 | __mp_main__ | INFO] Iteration 6 @ 5100 1/min: try with T_evp = 3.273 °C and T_cnd = 48.251 °C
[2952 | __mp_main__ | INFO] Iteration 5 @ 5400 1/min: error with (5400 1/min, 5.000 °C, 50.000 °C): for T_evp = -5.478 K, for T_cnd = -2.709 K
[1768 | __mp_main__ | INFO] Iteration 5 @ 4800 1/min: error with (4800 1/min, 5.000 °C, 50.000 °C): for T_evp = -3.014 K, for T_cnd = -1.722 K
[2952 | __mp_main__ | INFO] Iteration 6 @ 5400 1/min: try with T_evp = -62.784 °C and T_cnd = 134.658 °C
[1768 | __mp_main__ | INFO] Iteration 6 @ 4800 1/min: try with T_evp = 3.468 °C and T_cnd = 49.117 °C
[2952 | __mp_main__ | ERROR] Rating of VCM failed: Condenser temperature (134.658 °C) exceeds critical temperature of refrigerant (101.060 °C).
[2952 | __mp_main__ | ERROR] Rating of VCM failed: Condenser temperature (134.658 °C) exceeds critical temperature of refrigerant (101.060 °C)., Traceback (most recent call last):
  File "C:\Users\Tom\PycharmProjects\python-hvac\docs\examples\vapor_compression\ex07_multi_analysis_1.py", line 112, in analyze_performance
    machine.rate_root(
  File "C:\Users\Tom\PycharmProjects\python-hvac\hvac\vapor_compression\machine_bis.py", line 412, in rate_root
    sol = optimize.root(
          ^^^^^^^^^^^^^^
  File "C:\Users\Tom\AppData\Local\pypoetry\Cache\virtualenvs\python-hvac-PU9n6GWK-py3.11\Lib\site-packages\scipy\optimize\_root.py", line 236, in root
    sol = _root_hybr(fun, x0, args=args, jac=jac, **options)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Tom\AppData\Local\pypoetry\Cache\virtualenvs\python-hvac-PU9n6GWK-py3.11\Lib\site-packages\scipy\optimize\_minpack_py.py", line 239, in _root_hybr
    retval = _minpack._hybrd(func, x0, args, 1, xtol, maxfev,
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Tom\PycharmProjects\python-hvac\hvac\vapor_compression\machine_bis.py", line 340, in _eq
    raise ValueError(err_message)
ValueError: Rating of VCM failed: Condenser temperature (134.658 °C) exceeds critical temperature of refrigerant (101.060 °C).

[12604 | __mp_main__ | INFO] Iteration 4 @ 2700 1/min: error with (2700 1/min, 5.000 °C, 50.000 °C): for T_evp = 3.749 K, for T_cnd = 4.017 K
[12604 | __mp_main__ | INFO] Iteration 5 @ 2700 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[1768 | __mp_main__ | WARNING] No subcooling of refrigerant in condenser.
[4164 | __mp_main__ | INFO] Iteration 5 @ 4500 1/min: error with (4500 1/min, 5.000 °C, 50.000 °C): for T_evp = -1.808 K, for T_cnd = -1.122 K
[4164 | __mp_main__ | INFO] Iteration 6 @ 4500 1/min: try with T_evp = 4.192 °C and T_cnd = 49.174 °C
[16232 | __mp_main__ | WARNING] No subcooling of refrigerant in condenser.
[12576 | __mp_main__ | INFO] Iteration 5 @ 4200 1/min: error with (4200 1/min, 5.000 °C, 50.000 °C): for T_evp = -0.630 K, for T_cnd = -0.426 K
[12576 | __mp_main__ | INFO] Iteration 6 @ 4200 1/min: try with T_evp = 4.707 °C and T_cnd = 49.760 °C
[5816 | __mp_main__ | INFO] Iteration 6 @ 3600 1/min: error with (3600 1/min, 5.114 °C, 50.497 °C): for T_evp = 0.285 K, for T_cnd = 0.223 K
[5816 | __mp_main__ | INFO] Iteration 7 @ 3600 1/min: try with T_evp = 5.246 °C and T_cnd = 50.684 °C
[12576 | __mp_main__ | WARNING] No subcooling of refrigerant in condenser.
[1768 | __mp_main__ | INFO] Iteration 6 @ 4800 1/min: error with (4800 1/min, 3.468 °C, 49.117 °C): for T_evp = 0.165 K, for T_cnd = 0.096 K
[1768 | __mp_main__ | INFO] Iteration 7 @ 4800 1/min: try with T_evp = 3.549 °C and T_cnd = 49.178 °C
[4164 | __mp_main__ | WARNING] No subcooling of refrigerant in condenser.
[6464 | __mp_main__ | INFO] Iteration 6 @ 3900 1/min: error with (3900 1/min, 4.872 °C, 49.835 °C): for T_evp = -0.013 K, for T_cnd = -0.009 K
[6464 | __mp_main__ | INFO] Iteration 7 @ 3900 1/min: try with T_evp = 4.867 °C and T_cnd = 49.828 °C
[16232 | __mp_main__ | INFO] Iteration 6 @ 5100 1/min: error with (5100 1/min, 3.273 °C, 48.251 °C): for T_evp = -0.761 K, for T_cnd = -0.386 K
[16232 | __mp_main__ | INFO] Iteration 7 @ 5100 1/min: try with T_evp = 2.913 °C and T_cnd = 48.004 °C
[1768 | __mp_main__ | WARNING] No subcooling of refrigerant in condenser.
[8968 | __mp_main__ | INFO] Iteration 5 @ 3300 1/min: error with (3300 1/min, 5.000 °C, 50.000 °C): for T_evp = 1.498 K, for T_cnd = 1.257 K
[8968 | __mp_main__ | INFO] Iteration 6 @ 3300 1/min: try with T_evp = 5.808 °C and T_cnd = 50.798 °C
[2036 | __mp_main__ | INFO] Iteration 5 @ 3000 1/min: error with (3000 1/min, 5.000 °C, 50.000 °C): for T_evp = 2.599 K, for T_cnd = 2.442 K
[2036 | __mp_main__ | INFO] Iteration 6 @ 3000 1/min: try with T_evp = 6.952 °C and T_cnd = 50.538 °C
[12576 | __mp_main__ | INFO] Iteration 6 @ 4200 1/min: error with (4200 1/min, 4.707 °C, 49.760 °C): for T_evp = -0.092 K, for T_cnd = -0.062 K
[12576 | __mp_main__ | INFO] Iteration 7 @ 4200 1/min: try with T_evp = 4.657 °C and T_cnd = 49.726 °C
[4164 | __mp_main__ | INFO] Iteration 6 @ 4500 1/min: error with (4500 1/min, 4.192 °C, 49.174 °C): for T_evp = -0.330 K, for T_cnd = -0.200 K
[4164 | __mp_main__ | INFO] Iteration 7 @ 4500 1/min: try with T_evp = 4.021 °C and T_cnd = 49.062 °C
[13656 | __mp_main__ | INFO] Iteration 5 @ 2400 1/min: error with (2400 1/min, 5.000 °C, 50.000 °C): for T_evp = 4.912 K, for T_cnd = 6.128 K
[13656 | __mp_main__ | INFO] Iteration 6 @ 2400 1/min: try with T_evp = 4.198 °C and T_cnd = 63.099 °C
[5268 | __mp_main__ | INFO] Iteration 5 @ 2100 1/min: error with (2100 1/min, 5.000 °C, 50.000 °C): for T_evp = 6.066 K, for T_cnd = 9.035 K
[5268 | __mp_main__ | INFO] Iteration 6 @ 2100 1/min: try with T_evp = 4.098 °C and T_cnd = 69.002 °C
[12604 | __mp_main__ | INFO] Iteration 5 @ 2700 1/min: error with (2700 1/min, 5.000 °C, 50.000 °C): for T_evp = 3.749 K, for T_cnd = 4.017 K
[12604 | __mp_main__ | INFO] Iteration 6 @ 2700 1/min: try with T_evp = 29.982 °C and T_cnd = 0.713 °C
[12604 | __mp_main__ | ERROR] Rating of VCM failed: Condenser temperature (0.713 °C) is lower than temperature of air entering condenser (35.000 °C).
[12604 | __mp_main__ | ERROR] Rating of VCM failed: Condenser temperature (0.713 °C) is lower than temperature of air entering condenser (35.000 °C)., Traceback (most recent call last):
  File "C:\Users\Tom\PycharmProjects\python-hvac\docs\examples\vapor_compression\ex07_multi_analysis_1.py", line 112, in analyze_performance
    machine.rate_root(
  File "C:\Users\Tom\PycharmProjects\python-hvac\hvac\vapor_compression\machine_bis.py", line 412, in rate_root
    sol = optimize.root(
          ^^^^^^^^^^^^^^
  File "C:\Users\Tom\AppData\Local\pypoetry\Cache\virtualenvs\python-hvac-PU9n6GWK-py3.11\Lib\site-packages\scipy\optimize\_root.py", line 236, in root
    sol = _root_hybr(fun, x0, args=args, jac=jac, **options)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Tom\AppData\Local\pypoetry\Cache\virtualenvs\python-hvac-PU9n6GWK-py3.11\Lib\site-packages\scipy\optimize\_minpack_py.py", line 239, in _root_hybr
    retval = _minpack._hybrd(func, x0, args, 1, xtol, maxfev,
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Tom\PycharmProjects\python-hvac\hvac\vapor_compression\machine_bis.py", line 351, in _eq
    raise ValueError(err_message)
ValueError: Rating of VCM failed: Condenser temperature (0.713 °C) is lower than temperature of air entering condenser (35.000 °C).

[16232 | __mp_main__ | WARNING] No subcooling of refrigerant in condenser.
[1768 | __mp_main__ | INFO] Iteration 7 @ 4800 1/min: error with (4800 1/min, 3.549 °C, 49.178 °C): for T_evp = -0.012 K, for T_cnd = -0.007 K
[1768 | __mp_main__ | INFO] Iteration 8 @ 4800 1/min: try with T_evp = 3.544 °C and T_cnd = 49.174 °C
